Author,Organization,Score
rick-yhchen1013,wt microelectronics,2.00
leeprecy,Broadcom,2.00
samitabh,Broadcom,2.00
dsatterw,Others,2.00
skytreat,Microsoft,1.90
albgonzpri,Microsoft,1.90
tanpinsiang,Others,1.80
DhinakaranDayalan,Others,1.80
TencentSwitchGroup,Tencent,1.80
eddyk-nvidia,Others,1.80
shivuv,Others,1.80
Yuval-Mellanox,Others,1.80
Battier,Others,1.80
wangzhClounix,Others,1.80
arkadiyshapiro,VMware,1.80
v-wfarris,Others,1.75
amar304,Others,1.75
msreddypaluru,Others,1.60
gaggaman,Others,1.50
Seitanas,@vinted,1.50
cheryls-arista,Others,1.50
Donlon,Others,1.50
KanjiMonster,@bisdn,1.50
ham-xa,xFlow Research,1.50
SandyLiu1115,Others,1.50
akash1mar,Others,1.50
nagasomarowthu36,Others,1.50
saintnoah,Others,1.50
Tim-741,Others,1.50
majst01,x-cellent technologies gmbh,1.50
mutomasa,Others,1.50
delandtj,purepeople,1.50
jimthedj65,Others,1.50
SLLU77,Others,1.50
harimuthirevula,Others,1.50
oplklum,Others,1.50
yueyihui,china,1.50
bigwboy,Others,1.50
tobzsc,Others,1.50
Pesa,USnistgov,1.50
coolkidBigEye,Others,1.50
galdem6,Others,1.50
abudaoweng,Others,1.50
mohannai,Others,1.50
laiguoliang-lyr,Others,1.50
SviatoslavNastasiak,Others,1.50
nand0104,Others,1.50
florath,Others,1.50
ashwin-h,Others,1.50
guangjung,Others,1.50
linyutsung,ufispace,1.50
SudharshanSuresh,Others,1.50
sahiltyagi4,@rbccps-iisc @dreamlabin,1.50
Japanavt,Others,1.50
ntoorchi,Others,1.50
dcantunes123,Others,1.50
odd22,Orange,1.50
shinoharakazuya,Others,1.50
gavinht21,Others,1.50
AStrangwood,Others,1.50
GAcharyaIndia,Others,1.50
aslam4g,Others,1.50
perry1106,Others,1.50
songlinglingpml,Others,1.50
feanis,Others,1.50
jSML4ThWwBID69YC,Others,1.50
iancote,Others,1.50
JSpewock,Others,1.50
swapwz,H3C,1.50
jboomer,Others,1.50
Zmegolaz,Others,1.50
toggit,Others,1.50
zhangineer,wwt,1.50
OTaoZh,Others,1.50
sif7en,Others,1.50
netmanyys,Others,1.50
YanChii,Others,1.50
richmondstacey,Others,1.50
zouzhao6,Others,1.50
adamx-xk,Others,1.50
ajuse,Others,1.50
brianlin-ec,Others,1.50
inspurTW,Others,1.50
bsbsrkg,Others,1.50
appleCh,Others,1.50
Sandeepsr,Others,1.50
boralt,fungible,1.50
madhukar-kamarapu,Broadcom,1.50
sflow,Others,1.50
aruljeniston,Others,1.50
vemulabalaji,Others,1.45
shaoshouping,Ruijie,1.40
DhanaDell,Dell,1.40
ushax,Others,1.25
mathershifter,Broadcom,1.25
shanshri,pensnado,1.25
lgbin879,Others,1.25
grantcurell,Dell,1.25
allanstreib,Others,1.25
rudubey,Others,1.25
ksubashh,Others,1.25
mahdiniya5252,Others,1.25
gukunqing,Others,1.25
Jarvx,Others,1.25
jeremytouve,GenesisCloud,1.25
eyal-horn-nvidia,Others,1.25
Ariadw,Others,1.25
mpfau,Others,1.25
zhuangjh3,Others,1.25
CNM777,Others,1.25
Prashankalikotayt,Others,1.25
cpackham-atlnz,Others,1.25
nishi4321,Others,1.25
joyantamishu,Others,1.25
PRAVEEN-BABY,Others,1.25
Komil-yc,Others,1.25
kidoflamancha,Others,1.25
ezware,Others,1.25
ymc-dabe,ymc ag,1.25
Grim-lock,Alibaba,1.25
fire-ant,Others,1.25
NoySa,Others,1.25
kwang789,Others,1.25
jhujhiti,Others,1.25
gck-04,Others,1.25
Tsingsoon,Others,1.25
mtchhor,Others,1.25
gcupryn,Intel,1.25
slrflr,Others,1.25
longruiliu,buaa,1.25
123toorc,university of edinburgh,1.25
shaukathsathar,Others,1.25
gbmsft,Microsoft,1.20
rlucus,Others,1.20
ayelrod,Google,1.20
lazc,Microsoft,1.20
vdahiya,Others,1.20
MikeHcChen,Others,1.20
svsivm,Others,1.10
santoshdoke,Broadcom,1.10
dungru,Others,1.00
sramkrishna,Intel,1.00
peggy-chu,Others,1.00
sowri1,Others,1.00
joraff,Texas A&M University,1.00
mkjprior,Others,1.00
holmanb,Canonical,1.00
DukeOwlington,Others,1.00
DeepanSaha,Others,1.00
daddiaz,Others,1.00
HelenHZhang,Others,1.00
alanC-Cameo,Others,1.00
MheniMerz,USnistgov,1.00
michael-bu,Others,1.00
bwebb94,Others,1.00
melsom,terrahost as,1.00
kumarph,Others,1.00
mgrzybowski,Others,1.00
wangluochao902,texas a&m university,1.00
babu-s2,Others,1.00
Linda5067,Others,1.00
rpjday,crash course,1.00
pawmas,Others,1.00
maq123,Others,1.00
NehaRajeM,Microsoft,1.00
wjf1993,Others,1.00
ForzaTian,red mud village,1.00
lockless,Others,1.00
nasbdh9,Others,1.00
andyivanov,Microsoft,1.00
pshulik,Jabil,1.00
MalteJ,sap,1.00
asha-behera,Broadcom,1.00
LaveenBrcm,Broadcom,1.00
Israel-Meilik,Broadcom,1.00
motinisim,Others,1.00
nupurjai,Intel,1.00
jklare,Others,1.00
FLYFLYFL,Others,1.00
andriymoroz,Others,1.00
tadengmsft,Microsoft,1.00
krambn,Others,1.00
hongrun007,Others,0.90
jcmathews,Others,0.80
Prasanth-KV,Broadcom,0.80
amin-alavi,Broadcom,0.80
JLevesque84,Others,0.80
jpsenior,Others,0.80
briantopping,sap,0.80
praveen5582,Others,0.80
hustleige2003,Others,0.75
3Hren,sonm,0.75
scjuang,EdgeCore,0.75
jmzou,Others,0.75
shihdada,Others,0.75
CnaZhao,Others,0.75
jaygmuru,Cisco,0.75
justin-lu-lyc,Others,0.75
jackyjsliu,Others,0.70
Blyschak,Others,0.60
kuomarcel,Others,0.60
IGordynskyi,Others,0.60
tombo315,Oracle,0.60
nmoray,Aviz Networks,0.60
TheZinna,Others,0.60
celestica-gl,Others,0.60
ikkzhu,Others,0.60
hsincsu,Others,0.60
Pirunchy64,Others,0.60
bhagatyj,Google,0.60
nanteby,Others,0.60
elibritstein,Others,0.60
wangydalibaba,Others,0.60
kishoreatreya,Marvell,0.60
TomFletcher0,Others,0.60
ylu7283,Others,0.60
amaragra,Others,0.60
adamdunstan,dunstan associates,0.60
laodulaodu,Others,0.60
karthikarum,Others,0.60
wschwartz,Broadcom,0.60
pliviu,duiadns co,0.60
ritalhui,Others,0.60
ranjinidn,Dell,0.60
Aravind-Subbaroyan,Others,0.60
sgurram,Others,0.60
sslvjun,Others,0.50
MickeyZhan,Others,0.50
Alibaba-Sonic,Others,0.50
doicom,Others,0.50
VitalySav,Others,0.50
ryanmusic,Others,0.50
Mrak-IW,Others,0.50
muindurk,Others,0.50
phx420,Others,0.50
jorenwu84,Others,0.50
yintao1995,Others,0.50
andriy-kokhan,plvision,0.50
kaichunCc,Others,0.50
JohnSalloway,Others,0.50
sudurais,Others,0.50
sonic-qct,Others,0.50
ShwetaChahar,Others,0.50
jonharrisonms,Microsoft,0.50
BRCM-DevOps,Others,0.50
ritahui,Others,0.50
konne88,Others,0.50
smolkaj,Google,0.50
brcmnokia,Others,0.50
roweisch,Others,0.50
tarundeepsharma88,Others,0.50
zhaoxiaoke,Others,0.50
fengyingling,Others,0.50
hesingh,none,0.50
AndriyZabavskyy,plvision,0.50
rbone-mitre,Others,0.40
jala-dx,replicated inc.,0.40
FaithRobben,Others,0.40
cookiesowns,first mode,0.40
atanu-mandal,Others,0.40
tjjh89017,Others,0.40
Mrvl-BenjaminHuang,Others,0.40
salilpant-brcm,Broadcom,0.40
winstonliu1111,Others,0.40
idle-meerkat,Others,0.40
springxucoder,Others,0.40
vikasksrivastava,Others,0.40
ruferp,Others,0.40
dproc,Others,0.40
andrewchoi5,Microsoft,0.40
dipali0125,Others,0.40
disaster123,Others,0.30
shivanangi,Others,0.30
ritacxl,Others,0.30
yinshuangshuang,Others,0.30
mnaberez,Others,0.30
Jipan-Yang,Others,0.30
Walker917,Others,0.30
kaoyusean,Alibaba,0.30
Arul-Jeniston-Mc,Dell,0.30
fgggid,Others,0.30
tfangit,Others,0.30
sflow-rt,Others,0.30
aruna98765,Cisco,0.30
yanaport,Others,0.30
BOT-NV,Others,0.30
WillsonHG,the linux foundation,0.30
wanxms,Microsoft,0.25
sergeypopovich-ord,Ordnance,0.20
asrivenk,Others,0.20
satanninja,Others,0.20
digesh,www.volansys.com,0.20
navneeth2666,Others,0.20
dtallen97,Others,0.20
ashutshkumr,Keysight,0.20
stayyule,Keysight,0.20
Nazarii,Others,0.20
StasTODD,Others,0.20
yurikvol,Others,0.15
